,country
India,2341
United States,1199
London,1192
New Delhi,1137
New York,1081
Mumbai,890
Washington,873
Los Angeles,691
England,666
USA,622
Toronto,606
California,574
Canada,511
Chicago,506
Australia,505
South Africa,481
UK,474
Melbourne,421
United Kingdom,419
Nairobi,401
Florida,397
Sydney,387
Atlanta,368
Texas,368
Boston,339
San Francisco,332
Switzerland,329
Lagos,306
Houston,287
Vancouver,282
Johannesburg,281
Ontario,275
Beijing,263
Seattle,231
Bengaluru,230
Hyderabad,218
Philippines,218
Las Vegas,215
Singapore,207
Ireland,199
Bhubaneshwar,198
Hong Kong,198
San Diego,195
Philadelphia,186
Austin,185
Manila,165
Ottawa,164
New Jersey,163
Dallas,162
Kenya,161
Scotland,161
Dubai,155
Ohio,143
Pakistan,141
North Carolina,139
Odisha,139
New York City,135
Portland,135
Jammu,132
Geneva,117
Baltimore,114
Delhi,112
Miami,110
Colorado,110
Jaipur,109
Brooklyn,106
Nashville,104
Georgia,104
Paris,104
Bangkok,104
Dublin,102
Brussels,102
Sacramento,101
Michigan,101
Sri Lanka,100
Calgary,97
New Orleans,96
Phoenix,96
Arizona,95
British Columbia,95
Malaysia,95
Uganda,95
Pretoria,94
Cambridge,92
Oregon,92
Birmingham,91
Denver,91
Brisbane,91
Minneapolis,88
United Arab Emirates,86
Alberta,86
Pennsylvania,86
Oakland,82
Pittsburgh,82
Virginia,81
Illinois,81
Berlin,78
Manhattan,77
Ghana,76
San Antonio,74
Tampa,74
Japan,73
"Abuja, Nigeria",73
Wisconsin,73
Tennessee,72
Orlando,72
Detroit,71
US,71
America,71
Charlotte,71
Noida,70
NC,70
"Pune, India",70
Doha,69
Kansas City,69
Gujarat,69
France,68
Kerala,68
Victoria,67
Maryland,67
Queensland,67
Tokyo,66
Kuala Lumpur,66
Massachusetts,66
Salt Lake City,65
Kampala,65
Minnesota,65
Columbus,65
Bangladesh,64
Nigeria,64
Srinagar,63
Indiana,61
Kolkata,61
Islamabad,60
Cleveland,58
Germany,58
Washington DC,57
Connecticut,57
Edinburgh,56
Thailand,55
Arkansas,54
Dublin City,53
Amsterdam,53
Indianapolis,53
St. Louis,52
INDIA,52
Kentucky,51
Richmond,51
Montréal,51
Perth,51
Montreal,51
Ahmadabad City,50
Northern Ireland,50
Karachi,49
Missouri,49
Vienna,48
Arlington,48
Qatar,47
Netherlands,47
Raleigh,46
Cincinnati,46
Salford,46
Milwaukee,45
Quezon City,44
Alabama,44
San Jose,44
Zimbabwe,44
Barcelona,43
Vijayawada,42
Maldives,42
New Zealand,42
Zurich,40
Wales,39
Salem,39
United States of America,38
Israel,38
LA,38
Bronx,38
South Carolina,37
Utrecht,37
Liverpool,37
Oklahoma,37
South Australia,37
Ibadan,37
Orange County,37
DC,37
Tulsa,36
Maine,36
Lebanon,35
South West,35
Ann Arbor,35
Louisville,35
Newcastle,35
U.S.,35
Gurgaon,34
Stockholm,33
Durham,33
Fort Worth,33
Jacksonville,33
Istanbul,33
